"Time","Used","Buffer","Cached","Free"
2023-04-18 15:39:30,332 MiB,27.8 MiB,511 MiB,99.4 MiB
2023-04-18 15:39:35,332 MiB,27.8 MiB,511 MiB,99.4 MiB
2023-04-18 15:39:40,328 MiB,27.8 MiB,511 MiB,104 MiB
2023-04-18 15:39:45,328 MiB,27.8 MiB,511 MiB,103 MiB
2023-04-18 15:39:50,328 MiB,27.8 MiB,511 MiB,103 MiB
2023-04-18 15:39:55,328 MiB,27.8 MiB,511 MiB,103 MiB
2023-04-18 15:40:00,345 MiB,27.8 MiB,511 MiB,86.3 MiB
2023-04-18 15:40:05,338 MiB,27.8 MiB,511 MiB,93.3 MiB
2023-04-18 15:40:10,343 MiB,27.8 MiB,511 MiB,88.2 MiB
2023-04-18 15:40:15,341 MiB,27.8 MiB,511 MiB,90.4 MiB
2023-04-18 15:40:20,336 MiB,27.8 MiB,511 MiB,94.8 MiB
2023-04-18 15:40:25,334 MiB,27.8 MiB,511 MiB,97.3 MiB
2023-04-18 15:40:30,334 MiB,27.8 MiB,511 MiB,97.3 MiB
2023-04-18 15:40:35,334 MiB,27.8 MiB,511 MiB,97.4 MiB
2023-04-18 15:40:40,334 MiB,27.8 MiB,511 MiB,97.4 MiB
2023-04-18 15:40:45,334 MiB,27.8 MiB,511 MiB,97.4 MiB
2023-04-18 15:40:50,334 MiB,27.8 MiB,511 MiB,97.2 MiB
2023-04-18 15:40:55,336 MiB,27.8 MiB,511 MiB,95.2 MiB
2023-04-18 15:41:00,334 MiB,27.8 MiB,511 MiB,97.4 MiB
2023-04-18 15:41:05,332 MiB,27.8 MiB,511 MiB,99.3 MiB
2023-04-18 15:41:10,341 MiB,27.8 MiB,511 MiB,90.0 MiB
2023-04-18 15:41:15,334 MiB,27.8 MiB,511 MiB,96.6 MiB
2023-04-18 15:41:20,334 MiB,27.8 MiB,511 MiB,96.6 MiB
2023-04-18 15:41:25,334 MiB,27.8 MiB,511 MiB,96.6 MiB
2023-04-18 15:41:30,324 MiB,27.8 MiB,511 MiB,108 MiB
2023-04-18 15:41:35,323 MiB,27.8 MiB,511 MiB,109 MiB
2023-04-18 15:41:40,322 MiB,27.8 MiB,511 MiB,109 MiB
2023-04-18 15:41:45,322 MiB,27.8 MiB,511 MiB,110 MiB
2023-04-18 15:41:50,322 MiB,27.8 MiB,511 MiB,109 MiB
2023-04-18 15:41:55,326 MiB,27.8 MiB,511 MiB,105 MiB
2023-04-18 15:42:00,325 MiB,27.8 MiB,511 MiB,106 MiB
2023-04-18 15:42:05,323 MiB,27.8 MiB,511 MiB,108 MiB
2023-04-18 15:42:10,324 MiB,27.8 MiB,511 MiB,107 MiB
2023-04-18 15:42:15,324 MiB,27.8 MiB,511 MiB,107 MiB
2023-04-18 15:42:20,324 MiB,27.8 MiB,511 MiB,107 MiB
2023-04-18 15:42:25,324 MiB,27.8 MiB,511 MiB,108 MiB
2023-04-18 15:42:30,341 MiB,27.8 MiB,511 MiB,90.6 MiB
2023-04-18 15:42:35,341 MiB,27.8 MiB,511 MiB,90.6 MiB
2023-04-18 15:42:40,341 MiB,27.8 MiB,511 MiB,90.6 MiB
2023-04-18 15:42:45,341 MiB,27.8 MiB,511 MiB,90.6 MiB
2023-04-18 15:42:50,340 MiB,27.8 MiB,511 MiB,90.8 MiB
2023-04-18 15:42:55,339 MiB,27.8 MiB,511 MiB,92.4 MiB
2023-04-18 15:43:00,339 MiB,27.8 MiB,511 MiB,92.4 MiB
2023-04-18 15:43:05,339 MiB,27.8 MiB,511 MiB,92.4 MiB
2023-04-18 15:43:10,339 MiB,27.8 MiB,511 MiB,92.5 MiB
2023-04-18 15:43:15,337 MiB,27.8 MiB,511 MiB,94.4 MiB
2023-04-18 15:43:20,337 MiB,27.8 MiB,511 MiB,94.4 MiB
2023-04-18 15:43:25,337 MiB,27.8 MiB,511 MiB,94.4 MiB
2023-04-18 15:43:30,337 MiB,27.8 MiB,511 MiB,94.1 MiB
2023-04-18 15:43:35,337 MiB,27.8 MiB,511 MiB,93.9 MiB
2023-04-18 15:43:40,337 MiB,27.8 MiB,511 MiB,93.9 MiB
2023-04-18 15:43:45,337 MiB,27.8 MiB,511 MiB,93.9 MiB
2023-04-18 15:43:50,337 MiB,27.8 MiB,511 MiB,93.9 MiB
2023-04-18 15:43:55,337 MiB,27.8 MiB,511 MiB,93.9 MiB
2023-04-18 15:44:00,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:44:05,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:44:10,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:44:15,337 MiB,27.8 MiB,511 MiB,93.7 MiB
2023-04-18 15:44:20,337 MiB,27.8 MiB,511 MiB,93.7 MiB
